project,status,measurement_month,commits,authors,committers,minor_contributors,major_contributors,directories,top_level_dirs,releases,active_days,files_modified,files_added,files_deleted,files_renamed,added_lines,deleted_lines,emails,devs,emails_thread_starter,emails_thread_starter_word_count,emails_thread_starter_characters,emails_threads,emails_threads_word_count,emails_threads_characters,emails_no_replies,emails_no_replies_word_count,emails_no_replies_characters,emails_jira,new_contributors,avg_files_modified_commit,code,blanks,files,comments,lines,programming_lang,most_complex_unit_loc,most_complex_unit_mcabe_index,total_number_of_files,number_of_files_main,lines_of_code_main,number_of_files_test,lines_of_code_test,test_vs_main_lines_of_code_percentage,number_of_files_generated,lines_of_code_generated,number_of_files_build_and_deployment,lines_of_code_build_and_deployment,negligible_risk_file_size_count,low_risk_file_size_count,medium_risk_file_size_count,high_risk_file_size_count,very_high_risk_file_size_count,negligible_risk_file_size_loc,low_risk_file_size_loc,medium_risk_file_size_loc,high_risk_file_size_loc,very_high_risk_file_size_loc,number_of_units,lines_of_code_in_units,lines_of_code_outside_units,unit_size_negligible_risk_loc,unit_size_negligible_risk_count,unit_size_low_risk_loc,unit_size_low_risk_count,unit_size_medium_risk_loc,unit_size_medium_risk_count,unit_size_high_risk_loc,unit_size_high_risk_count,unit_size_very_high_risk_loc,unit_size_very_high_risk_count,conditional_complexity_negligible_risk_loc,conditional_complexity_negligible_risk_count,conditional_complexity_low_risk_loc,conditional_complexity_low_risk_count,conditional_complexity_medium_risk_loc,conditional_complexity_medium_risk_count,conditional_complexity_high_risk_loc,conditional_complexity_high_risk_count,conditional_complexity_very_high_risk_loc,conditional_complexity_very_high_risk_count,conditional_complexity_high_plus_risk_count,conditional_complexity_high_plus_risk_loc,number_of_contributors,duplication_number_of_duplicates,duplication_number_of_files_with_duplicates,duplication_number_of_duplicated_lines,duplication_percentage,unit_duplicates_count,stars,forks,open_prs,closed_prs,merged_prs,stale_prs,deploys
neoscada,,1,38,1,1,0,1,1946,196,0,8,807,4134,62,319,311295,8476,0,0,0,0,0,0,0,0,0,0,0,0,1,21.23684210526316,115897,26451,1472,47928,190276,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,2,56,3,3,1,2,785,70,0,11,249,119,0,7,17638,6485,0,0,0,0,0,0,0,0,0,0,0,0,2,4.446428571428571,126949,26073,1413,132360,285382,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,3,159,2,2,1,1,1264,83,0,18,1297,4449,149,250,1434390,123330,0,0,0,0,0,0,0,0,0,0,0,0,0,8.157232704402515,169652,37198,1757,169584,376434,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,4,104,2,2,0,2,1999,205,0,10,904,139,10,9,123569,106505,0,0,0,0,0,0,0,0,0,0,0,0,0,8.692307692307692,114508,26038,1469,43289,183835,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,5,82,2,2,0,2,947,84,0,11,471,193,173,15,49759,76481,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7439024390243905,152023,31045,1662,163266,346334,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,6,68,2,2,0,2,88,20,0,15,396,107,20,120,18888,14563,0,0,0,0,0,0,0,0,0,0,0,0,0,5.823529411764706,7132,1843,82,8347,17322,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,7,33,2,2,0,2,2005,206,0,8,96,26,3,16,2992,679,0,0,0,0,0,0,0,0,0,0,0,0,0,2.909090909090909,114790,26086,1471,43456,184332,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,8,21,1,1,0,1,1112,94,0,7,225,197,2,8,16338,2764,0,0,0,0,0,0,0,0,0,0,0,0,0,10.714285714285714,98823,21869,1226,62639,183331,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,9,149,2,2,1,1,1139,98,0,15,1275,688,57,58,104699,34578,0,0,0,0,0,0,0,0,0,0,0,0,0,8.557046979865772,173027,35748,1879,182355,391130,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
neoscada,,10,137,2,2,0,2,1099,95,0,17,708,397,9,77,39487,10226,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1678832116788325,101225,22001,1231,64038,187264,Java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
